タイトル,メモ,URL,コメント
シャルトル聖パウロ修道女会,,https://www.google.com/maps/place/%E3%82%B7%E3%83%A3%E3%83%AB%E3%83%88%E3%83%AB%E8%81%96%E3%83%91%E3%82%A6%E3%83%AD%E4%BF%AE%E9%81%93%E5%A5%B3%E4%BC%9A/data=!4m2!3m1!1s0x60188c6832eaaaab:0x6d839fcc2c2e6f6a,
Ｓ．Ｊ．ハウス・イエズス会修道院,,https://www.google.com/maps/place/%EF%BC%B3%EF%BC%8E%EF%BC%AA%EF%BC%8E%E3%83%8F%E3%82%A6%E3%82%B9%E3%83%BB%E3%82%A4%E3%82%A8%E3%82%BA%E3%82%B9%E4%BC%9A%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x60188c6284c34bf1:0xe0743ca9ce95cb09,
カトリック米山教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E7%B1%B3%E5%B1%B1%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x3514c672342129f3:0x7311250f3cb571b0,
カトリック小値賀教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E5%B0%8F%E5%80%A4%E8%B3%80%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x356b31766f7b99fd:0xa85d2091791ead97,
カトリック北若山教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E5%8C%97%E8%8B%A5%E5%B1%B1%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x354383f489c1fde3:0xc79f039131c95423,
京都韓国人大聖堂,,https://www.google.com/maps/place/%E4%BA%AC%E9%83%BD%E9%9F%93%E5%9B%BD%E4%BA%BA%E5%A4%A7%E8%81%96%E5%A0%82/data=!4m2!3m1!1s0x600107b91d740001:0x45c0645b06d22762,
カトリック関口教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E9%96%A2%E5%8F%A3%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60188d05c597be6f:0xd282220a8bdf7191,
カトリック大垣教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E5%A4%A7%E5%9E%A3%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60049ead5d76828d:0x3c4b4bbe737d3ce4,
レデンプトリスチン修道院,,https://www.google.com/maps/place/%E3%83%AC%E3%83%87%E3%83%B3%E3%83%97%E3%83%88%E3%83%AA%E3%82%B9%E3%83%81%E3%83%B3%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x601c504627b124c5:0xcc5c24fded66282b,
Catholic church,,https://www.google.com/maps/place/Catholic+church/data=!4m2!3m1!1s0x60197641b269b8c5:0x5a4a6369497a320b,
みこころセンター,,https://www.google.com/maps/place/%E3%81%BF%E3%81%93%E3%81%93%E3%82%8D%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/data=!4m2!3m1!1s0x6003712bb8c144db:0x65c7672c53e16d37,
Catholic Hibino Church,,https://www.google.com/maps/place/Catholic+Hibino+Church/data=!4m2!3m1!1s0x600379e325d635c5:0x5393b63b99e19a99,
カトリック山国教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E5%B1%B1%E5%9B%BD%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6001b2348a8cc645:0x8a842ac578321c6,
カトリック箕面教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E7%AE%95%E9%9D%A2%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000fa4f2df1ce83:0xc9f1e70d1035a7e4,
厳律シトー会 天使の聖母トラピスチヌ修道院,,https://www.google.com/maps/place/%E5%8E%B3%E5%BE%8B%E3%82%B7%E3%83%88%E3%83%BC%E4%BC%9A+%E5%A4%A9%E4%BD%BF%E3%81%AE%E8%81%96%E6%AF%8D%E3%83%88%E3%83%A9%E3%83%94%E3%82%B9%E3%83%81%E3%83%8C%E4%BF%AE%E9%81%93%E9%99%A2/data=!4m2!3m1!1s0x5f9ef51f43d44ea5:0xcde17715eaec3578,
Kutchan Catholic Church,,https://www.google.com/maps/place/Kutchan+Catholic+Church/data=!4m2!3m1!1s0x5f0aba1ddb0ce551:0x8d9cc0a06d597179,
聖体奉仕会,,https://www.google.com/maps/place/%E8%81%96%E4%BD%93%E5%A5%89%E4%BB%95%E4%BC%9A/data=!4m2!3m1!1s0x5f8fe7d1a9611367:0x375cbb7e5ef9cef1,
水沢教會,,https://www.google.com/maps/place/%E6%B0%B4%E6%B2%A2%E6%95%99%E6%9C%83/data=!4m2!3m1!1s0x5f8f3588ac0b3847:0x3d5c13fd35d797fe,
カトリック秋田教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E7%A7%8B%E7%94%B0%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x5f8fc2eac162eb43:0x9e441c7e0ec8c461,
カトリック教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x5f8a85d098faaaab:0x6ad7cf2a4d2e4af4,
カトリック東京韓人教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E6%9D%B1%E4%BA%AC%E9%9F%93%E4%BA%BA%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60188d05d73fffff:0xec4b323afcdec009,
お告げのフランシスコ姉妹会聖堂,,https://www.google.com/maps/place/%E3%81%8A%E5%91%8A%E3%81%92%E3%81%AE%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B7%E3%82%B9%E3%82%B3%E5%A7%89%E5%A6%B9%E4%BC%9A%E8%81%96%E5%A0%82/data=!4m2!3m1!1s0x6018618dbeca88e7:0x19b0ec7cae860b42,
カノツサ修道女会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%8E%E3%83%84%E3%82%B5%E4%BF%AE%E9%81%93%E5%A5%B3%E4%BC%9A/data=!4m2!3m1!1s0x353fa7986910a139:0xac0ff43d2ee01344,
星塚カトリック教会,,https://www.google.com/maps/place/%E6%98%9F%E5%A1%9A%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x353e91f2172240b1:0x200f13e2a3ab8cdf,
イエズス会長束修練院,,https://www.google.com/maps/place/%E3%82%A4%E3%82%A8%E3%82%BA%E3%82%B9%E4%BC%9A%E9%95%B7%E6%9D%9F%E4%BF%AE%E7%B7%B4%E9%99%A2/data=!4m2!3m1!1s0x355a98e0cd83a459:0x4f1b7ac028fb4008,
カトリック佐用教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E4%BD%90%E7%94%A8%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x3555ab2f2ddad387:0xdc75b7c74bc9c183,
カトリック津山教会,,https://www.google.com/maps/place/%E3%82%AB%E3%83%88%E3%83%AA%E3%83%83%E3%82%AF%E6%B4%A5%E5%B1%B1%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x3554313d0dca4a97:0x87783a52f9c5b3b9,
